Input	Target	Prediction
When ASN receiving from a trusted supplier, is the user allowed to scan an inbound shipment to receive all the LPNs at once instead of scanning each LPN separately?	¿Al recibir un ASN de un proveedor confiable, se permite al usuario escanear un envío entrante para recibir todos los LPN de una vez en lugar de escanear cada LPN por separado?	¿Cuando se está recibiendo ASN proviene de un proveedor de confianza, se permite que el usuario escanee un envío entrante para recibir todos los LPN de una vez en lugar de escanear cada LPN por separado?
Supplier Quantity	Cantidad del Proveedor	Cantidad del Proveedor
Format Assignments	Asignaciones de Formato	Asignaciones de Formato
Add Equipment	Agregar Equipos	Agregar Equipo
Package Code	Código de Paquete	Código de Paquete
Does this customer type ship date controlled inventory?	¿Este tipo de comprador envía inventario controlado por fecha?	¿Este tipo de comprador envía inventario controlado por fecha?
Expected Quantity	Cantidad Esperada	Cantidad Esperada
Configuration/RF Outbound Audit	Configuración/Auditoría Saliente RF	Configuración/Auditoría Saliente RF
Add Planned Inbound Order to {0}	Agregar Orden Entrante Planificada a {0}	Agregar Orden Entrante Planificada a {0}
How do you want the system to calculate the age of inventory?	¿Cómo desea que el sistema calcule la edad del inventario?	¿Cómo desea que el sistema calcule la edad del inventario?
Count Activity	Actividad de Conteo	Actividad de Conteo
RF Over Receive Settings	Configuración de Sobrerecibo en RF	Configuración de Sobrerecibo en RF
Allocate to Empty Action	Asignar a Acción Vacía	Asignar a Acción Vacía
Physical Case	Caja Física	Caja Física
Work Attributes	Atributos de Trabajo	Atributos de Trabajo
Should handling units for this customer type be wrapped?	¿Deberían las unidades de manejo para este tipo de comprador tener envoltura?	¿Deberían las unidades de manejo para este tipo de comprador tener envoltura?
Add Damaged Locations	Agregar Ubicaciones Dañadas	Agregar Ubicaciones Dañadas
Load Attribute5 Flg	Bandera de Atributo de Carga 5	Bandera de Atributo de Carga 5
Should handling units for this customer type be labeled on 4 sides?	¿Deberían las unidades de manejo para este tipo de comprador tener etiquetas en los 4 lados?	¿Deberían las unidades de manejo para este tipo de comprador tener etiquetas en los 4 lados?
What is the consignment change point type for this supplier?	¿Cuál es el tipo de punto de cambio de consignación para este proveedor?	¿Cuál es el tipo de punto de cambio de consignación para este proveedor?
Add Supplier	Agregar Proveedor	Agregar Proveedor
Load Complete	Carga Completa	Carga Completa
Add a supplier for product over receiving.	Agregar un proveedor para el sobrerecibo de producto.	Agregar un proveedor para el sobrerecibo de producto.
Check in Failed. {0}.	Check In Fallido. {0}.	Check In Fallido. {0}.
Invalid configuration	Configuración inválida	Configuración inválida
Configuration/Allocation Inventory Selection	Configuración/Selección de Inventario de Asignación	Configuración/Selección de Inventario de Asignación
Complete Stop	Parada Completa	Parada Completa
Lot Parsing	Análisis de Lote	Análisis de Lote
Load Attribute Two	Atributo de Carga Dos	Atributo de Carga Dos
Is this a touchscreen device (typically used at packing stations to confirm contents in carton)?	¿Es este un dispositivo con pantalla táctil (típicamente usado en estaciones de empaque para confirmar el contenido en el cartón)?	¿Es este un dispositivo con pantalla táctil (típicamente usado en estaciones de empaque para confirmar el contenido en el cartón)?
Work Area Associations	Asociaciones de Áreas de Trabajo	Asociaciones de Áreas de Trabajo
Change Sequence Rule	Cambiar Regla de Secuencia	Cambiar Regla de Secuencia
Assign Outbound Load to Equipment	Asignar Carga de Salida a Equipo	Asignar Carga de Salida a Equipo
Repack Class	Clase de Reempaque	Clase de Reempaque
Upload Image	Subir Imagen	Subir Imagen
Cycle Count Action	Acción de Conteo Cíclico	Acción de Conteo Cíclico
Duty Stamp Flag	Bandera de Sello de Arancel	Bandera de Sello de Arancel
Add Movement Transaction	Agregar Transacción de Movimiento	Agregar Transacción de Movimiento
Commodity Code	Código de Mercancía	Código de Mercancía
To Inventory Status	A Estado de Inventario	A Estado de Inventario
Description Column	Descripción de Columna	Columna de Descripción
Is the user allowed to add unexpected component items (new work order lines) when a finished product is identified?	¿Se le permite al usuario agregar artículos componentes inesperados (nuevas líneas de orden de trabajo) cuando se identifica un producto terminado?	¿Se le permite al usuario agregar artículos componentes inesperados (nuevas líneas de orden de trabajo) cuando se identifica un producto terminado?
Is an operator allowed to update inventory to its current physical location when the application shows the inventory as being in a different physical location?	¿Se permite que un operador actualice el inventario en su ubicación física actual cuando la aplicación muestra que ese inventario está en una ubicación física diferente?	¿Se permite que un operador actualice el inventario en su ubicación física actual cuando la aplicación muestra que ese inventario está en una ubicación física diferente?
Supplier Items	Artículos de Proveedor	Artículos de Proveedor
Are you sure you want to enable this hold?	¿Está seguro de que desea habilitar esta retención?	¿Está seguro de que desea habilitar esta retención?
Assign Inventory to Shipment (Optional)	Asignar Inventario al Envío (Opcional)	Asignar Inventario al Envío (Opcional)
Inventory Attribute String18	Atributo de Inventario de Cadena18	Atributo de Inventario de Cadena18
Assign Shipments to Load	Asignar Envíos a Carga	Asignar Envíos a Carga
<b>Eligible locations will be repaired automatically on successful audit.</b> <br><br>click <b>OK to continue</b> or click <b>cancel to return</b>.	<b>Las ubicaciones elegibles se repararán automáticamente en la auditoría exitosa.</b> <br><br>haga clic en <b>Aceptar para continuar</b> o haga clic en <b>cancelar para regresar</b>.	<b>Las ubicaciones elegibles se repararán automáticamente en la auditoría exitosa.</b> <br><br>haga clic en < b>Aceptar para continuar</ b> o haga clic en<b><cancelar para regresar</B>.
Resource Code	Código de Recursos	Código de Recursos
Should operators be required to enter audit quantities in a non-pallet UOM when an LPN contains identical inventory.	¿Deben los operadores ingresar las cantidades de auditoría en una UM no-pallet cuando un LPN contenga inventario idéntico?	¿Deben los operadores ingresar las cantidades de auditoría en una UM no-pallet cuando un LPN contenga inventario idéntico?
Do you require a customs type to be specified on work orders?	¿Se requiere que se especifique un tipo de aduana en las órdenes de trabajo?	¿Se requiere que se especifique un tipo de aduana en las órdenes de trabajo?
Cancel Allocation	Cancelar Asignación	Cancelar Asignación
Are you sure you want to delete these location types?	¿Está seguro de que quiere eliminar estos tipos de ubicación?	¿Está seguro de que quiere eliminar estos tipos de ubicación?
Add Dashboard	Agregar Tablero	Agregar Tablero
Variable Config	Config de Variable	Config de Variable
Criteria Grouping	Agrupación de Criterio	Agrupación de Criterio
Should the user capture the supplier lot number during receiving?	¿Debería el usuario capturar el número de lote de proveedor durante el recibo?	¿Debe el usuario capturar el número de lote del proveedor durante el recibo?
Item Type Code	Código de Tipo de Artículo	Código de Tipo de Artículo
Is the operator required to confirm each LPN when obtaining LPNs for an assignment?	¿Se requiere que el operador confirme cada LPN al obtener LPNs para una asignación?	¿Se requiere que el operador confirme cada LPN al obtener LPNs para una asignación?
Should the system cancel release if the item is too large to cartonize?	¿Debe el sistema cancelar la liberación si el artículo es demasiado grande para ser cartonizado?	¿Debe el sistema cancelar la liberación si el artículo es demasiado grande para ser cartonizado?
Repack Class	Clase de Reempaque	Clase de Reempaque
Indirect Start Time Based	Basado en Hora de Inicio Indirecta	Basado en Hora de Inicio Indirecta
Component Key	Clave de Componente	Clave de Componente
Allow source facility overrides?	¿Permitir sobreescribir de instalación de origen?	¿Permitir sobreescribir de instalación de origen?
Add Rule	Agregar Regla	Agregar Regla
Configuration/Locations/Pickup and Deposit	Configuración/Ubicaciones/Surtido y Depósito	Configuración/Ubicaciones/Surtido y Depósito
{total} observations selected for mass update (not including completed observations). <br> One or more of the selected observations have been started (status of In Process or Observed), so the Job Code and Template fields cannot be updated.	{total} observaciones seleccionadas para actualización masiva (sin incluir observaciones completadas). <br> Una o más de las observaciones seleccionadas han sido iniciadas (estado En Proceso u Observado), por lo tanto no se pueden actualizar los campos Código de Trabajo y Plantilla.	{total} observaciones seleccionadas para actualización masiva (sin incluir observaciones completadas). <br> Una o más de las observaciones seleccionadas se han iniciado (estado En Proceso u Observado), por lo tanto no se pueden actualizar los campos Código de Trabajo y Plantilla.
Adjustment Rejected	Ajuste Rechazado	Ajuste Rechazado
Do you want to disable replenishments from being generated in zones that are configured for dynamic slotting?	¿Desea deshabilitar que se generen reabastos en zonas configuradas para slotting dinámico?	¿Desea deshabilitar que se generen reabastos en zonas configuradas para slotting dinámico?
You will now setup your location data. This includes the dimensions of each location and the pallet stack restriction associated with these locations.	Ahora configurará los datos de su ubicación. Esto incluye las dimensiones de cada ubicación y la restricción de apilamiento de pallets asociada con estas ubicaciones.	Ahora configurará los datos de su ubicación. Esto incluye las dimensiones de cada ubicación y la restricción de apilamiento de pallets asociada con estas ubicaciones.
(Non Serialized Only)	(Sólo no serializadas)	(Sólo no serializadas)
Threshold %<br>for overshipment	% de umbral<br>para sobreenvío	% de umbral<br>para sobreenvío
Assigned Item	Artículo Asignado	Artículo Asignado
Do you want to enable Allocation as a Service?	¿Quieres Habilitar la Asignación como un Servicio?	¿Quieres Habilitar la Asignación como un Servicio?
Return Fields Flag	Bandera de Campos de Devolución	Bandera de Campos de Devolución
Are you sure you want to cancel the shipment?	¿Está seguro de que desea cancelar el envío?	¿Está seguro de que desea cancelar el envío?
Configuration/Count Settings	Confirguración/Conf Conteo	Configuración/Conf Conteo
Cancel Picks	Cancelar Surtidos	Cancelar Surtidos
Live Search Enabled	Búsqueda Activa Habilitada	Búsqueda Activa Habilitada
Threshold Quantity	Cantidad de Umbral	Cantidad de Umbral
Configure the Delivery Note Number for the facility.	Configure el Número de Nota de Entrega para la instalación.	Configurar el Número de Nota de Entrega para la instalación.
Identified Catch Quantity	Cantidad Identificada Atrapada	Cantidad Variable Identificada.
Date Code	Código de Fecha	Código de Fecha
Unmeasured Adjustment - Select Users	Ajuste Sin Medir - Seleccionar Usuarios	Ajuste Sin Medir - Seleccionar Usuarios
Quality 2	Calidad 2	Calidad 2
Add Locations	Agregar Ubicaciones	Agregar Ubicaciones
Add more images	Agregar más imágenes	Agregar más imágenes
Shared/Waves and Picks	Compartido/Olas y Surtidos	Compartido/Olas y Surtidos
User Warehouse	Almacén de Usuarios	Almacén de Usuarios
<ul><li>Closed - no longer receive against.</li><li>Suspended - receiving stopped temporarily.</li></ul><br>Receiving inbound orders with Closed and Suspended statuses is not recommended.	<ul><li>Cerrado - ya no se recibe contra esta orden.</li><li>Suspendido - el recibo se ha detenido temporalmente.</li></ul><br>No se recomienda la recepción de órdenes entrantes con los estados Cerrado y Suspendido.	<ul><li>Cerrado - ya no se recibe contra esta orden.</li><li Suspendido - el recibo se ha detenido temporalmente.<(li></ul><br>No se recomienda el recibo de órdenes entrantes con los estados Cerrado y Suspendiado.
Manage Fields	Administrar Campos	Administrar Campos
Are you sure you want to unassign shipments from the stop?	¿Estás seguro de querer desasignar los envíos de la parada?	¿Estás seguro de querer desasignar los envíos de la parada?
Data Bits	Bits de Datos	Bits de Datos
Configuration/Location Types	Configuración/Tipos de Ubicación	Configuración/Tipos de Ubicación
{0} is marked as not receivable	{0} está marcado como no recibible	{0} está marcado como no recibible
Manual Allocation	Asignación Manual	Asignación Manual
LPN Tag Encoding	Codificación de Etiquetas de LPN	Codificación de Etiquetas de LPN
Allow a receipt to be reversed after the inbound shipment is closed? (not recommended)	¿Permitir revertir un recibo después de que el envío entrante esté cerrado? (no recomendado)	¿Permitir revertir un recibo después de que el envío entrante esté cerrado? (no recomendado)
Processing Area	Área de Procesamiento	Área de Procesamiento
Should the system search for a partially full location with mixed inventory before searching for an empty location?	¿Debería el sistema buscar una ubicación parcialmente completa con inventario combinado antes de buscar una ubicación vacía?	¿Debería el sistema buscar una ubicación parcialmente completa con inventario combinado antes de buscar una ubicaciones vacías?
Work Category	Categoría de Trabajo	Categoría de Trabajo
Load next {qty} records...	Cargar los próximos {qty} registros...	Cargar los próximos {qty} registros...
RF Settings	Configuración RF	Configuración RF
Freight Class	Clase de flete	Clase de Flete
Total Cube	Volumen Total	Volumen Total
Non-date Sort	Clasificación No-fecha	Clasificación No-fecha
Measurement Unit Category	Categoría de Unidad de Medida	Categoría de Unidad de Medida
What type of message format do you want to use?	¿Qué tipo de formato de mensaje quiere utilizar?	¿Qué tipo de formato de mensaje quiere utilizar?
DB LOCK	BLOQUEO DE BASE DE DATOS	Bloqueo de BASE DE DATOS
{0} Ascending	{0} Ascendente	{0} Ascendente
Allocate To Empty Date	Asignar a Fecha Vacía	Asignar a Fecha Vacía
Allocatable Quantity	Cantidad Asignable	Cantidad Asignable
Pick Settings	Configuración de Surtido	Configuración de Surtido
Signature Height	Altura de la Firma	Altura de la Firma
Do you want to clear Allocate to Empty Sequence for all locations in this area?	¿Desea borrar la Secuencia de la Acción Asignar para Vaciar para todas las ubicaciones en esta área?	¿Quieres borrar la Asignación a la Secuencia Vacía para todas las ubicaciones en esta área?
Unassign load {0} from transport equipment {1}?	¿Desea desasignar la carga {0} del equipo de transporte {1}?	¿Desea desasignar la carga {0} del equipo de transporte {1}?
Recount Audit	Auditoría de Conteo	Auditoría de Conteo
Closing Shipping Equipment	Cerrando Equipo de Envío	Cerrando Equipo de Envío
Add Handling Unit Type	Agregar Tipo de Unidad de Manejo	Agregar Tipo de Unidad de Manejo
Hot Items	Artículos Urgente	Artículos Urgente
Updating Shipments...	Actualizando Envíos...	Actualizando Envíos...
Aisle Lookup	Búsqueda de Pasillo	Búsqueda de Pasillo
<b>Note:</b> When inventory is stored or pending to location, level type cannot be changed.	<b>Nota:</b> Cuando el inventario está almacenado o pendiente en la ubicación, no se puede cambiar el tipo de nivel.	<b>Nota:</b> Cuando el inventario está almacenado o pendiente en la ubicación, no se puede cambiar el tipo de nivel.
Handling Unit Width	Ancho de Unidad de Manejo	Ancho de Unidad de Manejo
Configuration/Storage/Location Preference Rules	Configuración/Almacenamiento/Regla de Preferencia de Ubicación	Configuración/Almacenamiento/Regla de Preferencia de Ubicación
Add User	Agregar Usuario	Agregar Usuario
Identity Column	Columna de Identidad	Columna de Identidad
Add New Unit of Measure	Agregar Nueva Unidad de Medida	Agregar Nueva Unidad de Medida
False-Keyboard Char	Carácter de teclado-Falso	Carácter de Teclado-Falso
Should order lines for the customer be fulfilled with cross docked inventory by default?	¿Deberían las líneas de orden para el comprador rellenarse con inventario de Cruce de Andén de forma predeterminada?	¿Deberían las líneas de orden para el comprador rellenarse con inventario de Cruce de Andén de forma predeterminada?
Account Expiration	Caducidad de Cuenta	Caducidad de Cuenta
Married Code	Código de Vínculo	Código de Vínculo
Hold Quantity	Retención de Calidad	Retención de Calidad
Shared/Workflows	Compartido/Flujos de Trabajo	Compartido/Flujos de Trabajo
Update Location Attributes Confirmation	Confirmación de Actualización de Atributos de Ubicación	Confirmación de Actualización de Atributos de Ubicación
Assignments:	Asignaciones:	Asignaciones:
Shipped Quantity	Cantidad de Envíos	Cantidad de Envíos
What is the maximum number of batches that pick release should process ahead of the outstanding work?	¿Cuál es la cantidad máxima de lotes que la liberación de surtido debería procesar antes del trabajo pendiente?	¿Cuál es la cantidad máxima de lotes que la liberación de surtido debería procesar antes del trabajo pendiente?
ALTERNATE ITEM	ARTÍCULO ALTERNATIVO	ARTÍCULO ALTERNATIVO
Consolidation Rule Method	Código de Reglas de Consolidación	Método de Regla de Consolidación
What is the lot format that should be applied to inventory received from suppliers for this client?	¿Cuál es el formato de lote que se debería aplicar al inventario recibido de proveedores para este cliente?	¿Cuál es el formato de lote que se debería aplicar al inventario recibido de proveedores para este cliente?
Are you sure you want to delete the following filter: <bfilterName}</b>? It is favorited by {favoritedBy} user(s). They will lose access to it.	¿Está seguro de que desea eliminar el siguiente filtro:<bfilterName}</b>? {favoritedBy} usuarios lo marcaron como favorito y perderán el acceso a este.	¿Está seguro de que desea eliminar el siguiente filtro: <bfilterName}</b>? {favoritedBy} usuarios lo marcaron como favorito y perderán el acceso a este.
&nbsp;	&nbsp;	&nbsp;
Do you allow mixing items in this storage zone?	¿Se permite mezclar artículos en esta zona de almacenamiento?	¿Se permite mezclar artículos en esta zona de almacenamiento?
Cancel Cross Dock	Cancelar Cruce de Andén	Cancelar Cruce de Andén
1- high	1- alto	1- alto
Pallet Building	Armado de Pallet	Armado de Pallet
Do you allow receiving and shipping inventory to occupy the staging lane simultaneously?	¿Permite usted que inventario de recepción y de envío ocupen el mismo carril de stage simultáneamente?	¿Permite que inventario de recepción y envío ocupe el carril de stage simultáneamente?
"<p>If Yes,then when an operator that is picking a directed work assignment speaks ""sign off,"" the application assigns the incomplete work assignment to the operator as if it were manually assigned. Set this field to Yes to prevent operators from signing off and signing on again to avoid the work they were originally directed to perform. If this field is set to Yes, then the incomplete work assignment remains assigned to the operator until one of the following events occurs:</p><ul><li>The operator remains logged out for the duration that is specified in the <strong>Unassign Idle Work Time</strong> field.</li><li>The operator signs on to the application using a different device or different vehicle type.</li> <li>Warehouse Labor Management is integrated and the operator signs off for the entire day, meaning that the end of day transaction is sent to Warehouse Labor Management upon sign off (based on the <strong>End of Day</strong> field value).</li></ul><p>If No, then when an operator speaks ""sign off"", the directed work becomes available in the work queue for another operator to perform.</p> <p><strong>Notes</strong>:</p><ul><li>The application directs the operator to deposit incomplete work assignments based on the <strong>Deposit Incomplete Assignment on Sign Off</strong> field.</li><li>The <strong>Sign Off During Work Assignment</strong> field must be set to Yes to allow operators to sign off while performing a work assignment.</li></ul>"	"<p>Si es Sí, cuando un operador que está realizando una lista de surtido por trabajo dirigido diga ""cerrar sesión"", la aplicación asigna la lista de surtido incompleta al operador como si fuera asignada manualmente. Establezca este campo en Sí para evitar que los operadores cierren una sesión y abran otra para evitar hacer el trabajo que originalmente les fue asignado. Si este campo se establece en Sí, la lista de surtido incompleto permanece asignada al operador hasta que ocurra uno de los siguientes eventos:</p><ul><li>El operador permanece desconectado de su sesión por el tiempo especificado en el campo <strong>Tiempo de Trabajo Inactivo para Desasignar</strong>.</li><li>El operador inicia una sesión en la aplicación usando un dispositivo diferente o un tipo de vehículo diferente.</li> <li>Warehouse Labor Management está integrado y el operador cierra la sesión por el día completo, lo cual significa que la transacción de fin de día será enviada a Warehouse Labor Management al cerrar la sesión (dependiendo del valor en el campo <strong>Fin de día</strong>).</li></ul><p>Si No, cuando un operador diga ""cerrar sesión"", el trabajo dirigido se hace disponible en la cola de trabajos para que otro operador lo realice.</p> <p><strong>Notas</strong>:</p><ul><li>La aplicación dirige al operador para que deposite las listas de surtido incompletas según el campo <strong>Depositar Lista Incompleta al Cerrar la Sesión</strong>.</li><li>El campo <strong>Cerrar Sesión Durante las Listas de Surtido</strong> debe fijarse en Sí para permitir que los operadores cierren la sesión mientras están realizando una lista de surtido.</li></ul>"	"<p>Si es Sí, cuando un operador que está surtiendo una lista de surtido dirigida diga ""cerrar sesión"", la aplicación asigna la lista de trabajo incompleta al operador como si fuera asignada manualmente. Configure este campo en Sí para evitar que los operadores cierren sesión y vuelva a iniciarla para evitar el trabajo que originalmente les fue dirigido. Si este campo se establece en Sí, la lista incompleta permanece asignada al operador hasta que ocurra uno de los siguientes eventos:</p><ul><li>El operador permanece desconectado por el tiempo especificado en el campo <strong>Tiempo de Trabajo Inactivo</strongli>.</li><li><El operador inicia una sesión en la aplicación usando un dispositivo diferente o un tipo de vehículo diferente.<li> <li><Warehouse Labor Management está integrado y el operador cierra sesión durante todo el día, lo cual significa que la transacción de fin de día se envía a Warehouse Lab Management al cerrar sesión (con base en el valor <trong>Fin de Día</streng>).</ul></ul>Si No, cuando el operador expresa ""cer sesión"", el trabajo dirigido se hace disponible en la cola de trabajos para que otro operador realice el depósito.<p></p>Nota: <ul><strong></stround>El campo ></li>Debe fijarse en el operador Durante el depósito de una lista </s de surtido de surtido.<strontrang><li/ul/lili></b>Nota<strog>Notas<stroggles<strond>Cuando un operador realiza una lista para que deposite el campo esté realizando una lista incompleta.<ul>"
Assign the work areas that will be accessible for this device.	Asignar las áreas de trabajo a las que este dispositivo podrá acceder.	Asignar las áreas de trabajo a las que este dispositivo podrá acceder.
Is the operator allowed to cancel the current pick?	¿Se le permite al operador cancelar el surtido actual?	¿Se le permite al operador cancelar el surtido actual?
Add a Customs Country Type	Agregar un Tipo de País de Aduanas	Agregar un Tipo de País de Aduanas
Cancelling Shipments	Cancelar Envíos	Cancelar Envíos
Maximum Girth	Ancho Máxima	Anchura Máxima
Error Command for Default	Comando de Error para Predeterminado	Comando de Error para Predeterminado
Should the operator be required to label the picked inventory after an undirected pick?	¿Debería ser obligatorio que el operador etiquete el inventario surtido después de un surtido no dirigido?	¿Debería ser obligatorio que el operador etiquete el inventario surtido después de un surtido no dirigido?
Add a location or range of locations.	Agregar una ubicación o un rango de ubicaciones.	Agregar una ubicación o un rango de ubicaciones.
ASN Flag	Bandera de ASN	Bandera de ASN
Are users allowed to change the carrier for orders, shipments, or loads?	¿Se permite que los usuarios cambien el transportista para órdenes, envíos y cargas?	¿Se permite que los usuarios cambien el transportista para órdenes, envíos o cargas?
Do you want to generate in-line counts during picking when a location falls below a threshold?	¿Deseas generar conteos en línea durante el surtido cuando una ubicación cae por debajo de un umbral?	¿Deseas generar conteos en línea durante el surtido cuando una ubicación cae por debajo de un umbral?
Case Picking Footprint Code Enforcement	Aplicación de Código de Huella en Surtido de Cajas	Aplicación de Código de Huella en Surtido de Cajas
Should the system direct the operator to the location of the LPNs that need to be loaded?	¿Debería el sistema dirigir al operador a la ubicación de los LPN que deben cargarse?	¿Debería el sistema dirigir al operador a la ubicación de los LPN que deben cargarse?
Should the system capture only serial numbers during the packing process?	¿Debería el sistema capturar sólo números de serie durante el proceso de empaque?	¿Debe el sistema capturar sólo números de serie durante el proceso de empaque?
at {0} by {1}	a la(s) {0} por {1}	a la(s) {0} por {1}
Field 3	Campo 3	Campo 3
{0} of {1} LPNs are already staged at {2}.	{0} de {1} LPNs ya están depositados en el stage en {2}.	{0} de {1} LPNs ya están depositados en el stage en {2}.
Should the system direct the operator to the location of the LPNs to distribute?	¿Debería el sistema dirigir al operador a la ubicación de los LPN a distribuir?	¿Debería el sistema dirigir al operador a la ubicación de los LPN a distribuir?
Count Settings	Configuración de Conteo	Configuración de Conteo
WIP Expected Receipts Area	Área de Recepciones Esperadas de WIP	Área de Recepciones Esperadas de WIP
